t,y,error,u
0.000000,0.000000,1.000000,19.203895
0.010000,0.000953,1.000000,18.273694
0.020000,0.003742,0.999047,17.383172
0.030000,0.008250,0.996258,16.512643
0.040000,0.014363,0.991750,15.662624
0.050000,0.021973,0.985637,14.833546
0.060000,0.030974,0.978027,14.025774
0.070000,0.041263,0.969026,13.239616
0.080000,0.052742,0.958737,12.475317
0.090000,0.065314,0.947258,11.733070
0.100000,0.078889,0.934686,11.013016
0.110000,0.093377,0.921111,10.315245
0.120000,0.108694,0.906623,9.639800
0.130000,0.124757,0.891306,8.986680
0.140000,0.141489,0.875243,8.355842
0.150000,0.158814,0.858511,7.747204
0.160000,0.176660,0.841186,7.160645
0.170000,0.194960,0.823340,6.596011
0.180000,0.213646,0.805040,6.053116
0.190000,0.232657,0.786354,5.531742
0.200000,0.251934,0.767343,5.031645
0.210000,0.271419,0.748066,4.552552
0.220000,0.291059,0.728581,4.094168
0.230000,0.310804,0.708941,3.656176
0.240000,0.330606,0.689196,3.238236
0.250000,0.350419,0.669394,2.839994
0.260000,0.370200,0.649581,2.461075
0.270000,0.389910,0.629800,2.101091
0.280000,0.409511,0.610090,1.759639
0.290000,0.428968,0.590489,1.436306
0.300000,0.448248,0.571032,1.130667
0.310000,0.467320,0.551752,0.842287
0.320000,0.486156,0.532680,0.570725
0.330000,0.504730,0.513844,0.315532
0.340000,0.523018,0.495270,0.076256
0.350000,0.540997,0.476982,-0.147563
0.360000,0.558647,0.459003,-0.356384
0.370000,0.575950,0.441353,-0.550672
0.380000,0.592889,0.424050,-0.730890
0.390000,0.609450,0.407111,-0.897502
0.400000,0.625618,0.390550,-1.050972
0.410000,0.641382,0.374382,-1.191761
0.420000,0.656731,0.358618,-1.320329
0.430000,0.671658,0.343269,-1.437133
0.440000,0.686153,0.328342,-1.542625
0.450000,0.700212,0.313847,-1.637253
0.460000,0.713829,0.299788,-1.721460
0.470000,0.727001,0.286171,-1.795684
0.480000,0.739724,0.272999,-1.860357
0.490000,0.751997,0.260276,-1.915902
0.500000,0.763820,0.248003,-1.962739
0.510000,0.775192,0.236180,-2.001279
0.520000,0.786115,0.224808,-2.031922
0.530000,0.796591,0.213885,-2.055066
0.540000,0.806623,0.203409,-2.071096
0.550000,0.816214,0.193377,-2.080389
0.560000,0.825369,0.183786,-2.083317
0.570000,0.834092,0.174631,-2.080237
0.580000,0.842389,0.165908,-2.071502
0.590000,0.850265,0.157611,-2.057452
0.600000,0.857728,0.149735,-2.038421
0.610000,0.864784,0.142272,-2.014731
0.620000,0.871440,0.135216,-1.986694
0.630000,0.877704,0.128560,-1.954615
0.640000,0.883585,0.122296,-1.918787
0.650000,0.889090,0.116415,-1.879495
0.660000,0.894229,0.110910,-1.837012
0.670000,0.899010,0.105771,-1.791604
0.680000,0.903442,0.100990,-1.743525
0.690000,0.907534,0.096558,-1.693023
0.700000,0.911297,0.092466,-1.640332
0.710000,0.914739,0.088703,-1.585681
0.720000,0.917871,0.085261,-1.529286
0.730000,0.920701,0.082129,-1.471357
0.740000,0.923241,0.079299,-1.412092
0.750000,0.925498,0.076759,-1.351684
0.760000,0.927485,0.074502,-1.290314
0.770000,0.929209,0.072515,-1.228155
0.780000,0.930681,0.070791,-1.165372
0.790000,0.931911,0.069319,-1.102123
0.800000,0.932909,0.068089,-1.038556
0.810000,0.933683,0.067091,-0.974811
0.820000,0.934244,0.066317,-0.911023
0.830000,0.934601,0.065756,-0.847316
0.840000,0.934762,0.065399,-0.783809
